width,height,megapixels,exposure_L,contrast_L,clip_high_pct,clip_low_pct,cast,cast_a,cast_b,colorfulness,tilt_deg,tilt_signed_deg,n_vertical_lines,keystone,sharpness,noise_sigma,graphic_score,file,defects,listing_id,photo_id,badness,wm_score
1577,1050,1.65585,78.55290985107422,8.892989158630371,1.905299211876833,0.0087346499266862,0.8664311619632028,0.3333802819252014,-0.7997252941131592,1.6165986061096191,0.21514892578125,-0.21514892578125,82,-2.658631561214853,125.699017411293,1.780724263294112e-14,0.0678940043071847,119234939_1669976089.jpg,,119234939,1669976089,0.0,0.10850783437490463
1577,1050,1.65585,78.00520324707031,8.338583946228027,2.6414440524193545,0.0091642228739002,1.2432425009331176,-0.0437721759080886,1.242471694946289,1.8168721199035645,0.0655670166015625,0.0655670166015625,67,0.9219338029039584,87.7371768367636,3.4360649116332233e-15,0.0512809865285923,119234939_1669978167.jpg,sfocata,119234939,1669978167,0.5377137193872734,0.08113568276166916
1577,1050,1.65585,78.54693603515625,10.157612800598145,5.542350164956011,0.0090210318914956,0.7226332965111583,0.3948365747928619,0.6052296757698059,2.034789562225342,0.03009033203125,-0.03009033203125,55,0.2949680100229764,96.89998603459478,2.178605376492901e-15,0.1040640464626099,119234939_1669978305.jpg,sfocata,119234939,1669978305,0.3850002327567537,0.05589362978935242
1577,1050,1.65585,79.06453704833984,8.996204376220703,3.347232404692082,0.0095937958211143,1.8454694719107925,0.2700811922550201,1.8255995512008667,2.3477518558502197,0.0,0.0,53,1.5250033661198026,98.3903102546123,2.178605376492901e-15,0.0653323176319648,119234939_1669978387.jpg,sfocata,119234939,1669978387,0.3601614957564616,0.05983271449804306
1577,1050,1.65585,56.237056732177734,21.7424259185791,1.33697420271261,0.1887257148093841,3.6325223353296208,-3.488032817840576,1.0143202543258667,10.19469928741455,0.137969970703125,-0.137969970703125,20,-0.0847426840614666,686.9808063783797,0.7594771103196728,0.0186534892778592,119234939_1669978687.jpg,,119234939,1669978687,0.0,0.055955640971660614
1577,1050,1.65585,74.97208404541016,15.16464138031006,1.5534789681085044,0.0103097507331378,8.361696838575567,5.409230709075928,6.376378059387207,12.940592765808104,0.0612945556640625,0.0612945556640625,62,0.2360000505974238,172.01025245900138,0.3458216754298401,0.031739713159824,119234939_1669978759.jpg,dominante,119234939,1669978759,1.0904242096438916,0.10171804577112198
1577,1050,1.65585,57.73105239868164,21.797191619873047,1.192351310483871,0.0104529417155425,4.003855559865748,-3.2260656356811523,2.3713624477386475,10.203795433044434,0.02362060546875,-0.02362060546875,25,0.081706949641197,715.8541914255801,0.8024819905831158,0.017181485978739,119234939_1669978799.jpg,dominante,119234939,1669978799,0.000963889966437,0.07147464156150818
1577,1050,1.65585,68.46653747558594,22.570262908935547,2.0016667430351904,0.1262944464809384,8.073662871249491,-0.9241474866867064,8.020597457885742,12.192139625549316,0.2036209106445312,0.2036209106445312,72,-0.4152121390549093,755.7218777344575,0.944802387632874,0.1702340313416422,119234939_1669978847.jpg,dominante,119234939,1669978847,1.0184157178123727,0.060643889009952545
1577,1050,1.65585,68.91719818115234,14.40535831451416,1.18805558101173,0.0100233687683284,6.9627363912200195,3.599547863006592,5.960113525390625,25.57743263244629,0.04620361328125,-0.04620361328125,100,0.2957306861535018,197.77400916502992,0.5014478287389657,0.0150293255131964,119234939_1669978895.jpg,dominante,119234939,1669978895,0.7406840978050049,0.09233179688453674
1577,1050,1.65585,70.63043212890625,11.124922752380373,1.3217959585777126,0.009736986803519,8.882168436951979,5.03307580947876,7.31854248046875,20.95617294311523,0.059051513671875,-0.059051513671875,56,-0.070030610146961,172.49759766814202,0.3639976764967081,0.0284219780975073,119234939_1669979153.jpg,dominante,119234939,1669979153,1.2205421092379949,0.08135909587144852
1400,1050,1.47,55.37211227416992,17.598865509033203,2.440897623697917,0.0761667887369791,12.78532521358616,0.6807891726493835,12.767187118530272,37.356075286865234,0.5005645751953125,0.5005645751953125,19,-0.2662879880021447,107.92170870521254,0.4384843140864281,0.0191294352213541,120275842_1698249968.jpg,"dominante,sfocata",120275842,1698249968,2.397636158309664,0.07644372433423996
1400,1050,1.47,42.697235107421875,19.250633239746097,0.3054300944010416,0.9747823079427084,9.205093913574414,4.547216415405273,8.003535270690918,45.61900329589844,1.0674972534179688,-1.0674972534179688,35,-0.776030174637938,38.259119587470195,0.4203083130195471,0.0039876302083333,120275842_1698249982.jpg,"buia,dominante,storta,sfocata",120275842,1698249982,3.805562810138892,0.08520437031984329
1400,1050,1.47,51.08140182495117,24.308359146118164,0.037384033203125,3.44696044921875,5.9726609842267635,2.2754874229431152,5.522212982177734,13.386874198913574,2.2425537109375,-2.2425537109375,23,3.285057641016272,1489.583820595244,2.401270748778807,0.0018323262532552,120275842_1874772695.jpg,"buia,dominante,storta",120275842,1874772695,1.5800608708532402,0.07495929300785065
1400,1050,1.47,46.54909133911133,22.493396759033203,0.0030517578125,1.5110015869140625,1.1692153396006404,0.94378662109375,0.6901676058769226,12.110455513000488,1.004974365234375,-1.004974365234375,67,0.2539708545848435,987.3023604800046,2.2287735725658973,5.8492024739583336e-05,120275842_1874772717.jpg,"buia,storta",120275842,1874772717,0.7150737762451171,0.08593859523534775
1400,1050,1.47,44.39752197265625,23.633514404296875,0.0223795572916666,2.24151611328125,4.078749868665401,0.2453809380531311,4.071362018585205,11.281725883483888,2.066741943359375,-2.066741943359375,23,34.98431172398755,1104.435597601651,1.7255431105047474,0.0055109659830729,120275842_1874772753.jpg,"buia,dominante,storta",120275842,1874772753,1.6577632321403086,0.05410893261432648
1400,1050,1.47,50.431392669677734,22.548261642456055,1.445897420247396,0.0506083170572916,7.498328906856039,2.5382943153381348,7.055635929107666,27.649200439453125,1.0657958984375,1.0657958984375,23,1.6714028467705222,131.1063829516303,0.5923278340733346,0.0180371602376302,120275842_1874772957.jpg,"buia,dominante,storta",120275842,1874772957,1.2419735587045695,0.11609151214361191
1400,1050,1.47,62.236324310302734,23.52227020263672,2.18505859375,1.999537150065104,12.987263529796024,1.7922332286834717,12.86300563812256,24.67547607421875,0.830322265625,0.830322265625,44,-1.3953485473005294,95.35241444468392,0.4881420724795713,0.022308349609375,120275842_1874772987.jpg,"dominante,storta,sfocata",120275842,1874772987,2.7111571521209408,0.08643023669719696
1400,1050,1.47,62.7137451171875,24.442249298095703,5.324427286783854,0.2744038899739583,7.218800367217369,2.3284926414489746,6.832949638366699,19.000518798828125,2.2271575927734375,2.2271575927734375,70,4.801463294645726,178.10374110012103,0.5989807122030576,0.0609728495279947,120275842_1874773013.jpg,"dominante,storta",120275842,1874773013,1.789471820319967,0.09191566705703735
1400,1050,1.47,64.29509735107422,19.37444496154785,1.45111083984375,0.1879374186197916,7.05580819559845,4.330851078033447,5.5702924728393555,18.647241592407227,0.4755096435546875,0.4755096435546875,18,3.270975123719639,176.16158999409527,0.5063180735464499,0.0155576070149739,120275842_1874773033.jpg,dominante,120275842,1874773033,0.7639520488996125,0.08413615077733994
