width,height,megapixels,exposure_L,contrast_L,clip_high_pct,clip_low_pct,cast,cast_a,cast_b,colorfulness,tilt_deg,tilt_signed_deg,n_vertical_lines,keystone,sharpness,noise_sigma,graphic_score,file,defects,listing_id,photo_id,badness
1154,865,0.99821,52.93593215942383,28.823322296142575,0.0,6.363932291666667,2.6236709855136766,2.3456361293792725,-1.1754320859909058,9.729838371276855,8.092529296875,8.092529296875,36,19.66438158021247,1146.3443857534876,1.1797854233392302,0.0005989074707031,129957918_1946034788.jpg,"storta,bassa_risoluzione",129957918,1946034788,4.89501953125
1680,945,1.5876,77.41433715820312,27.488731384277344,39.16100396050347,0.2531263563368055,7.401506807045149,-0.7782195210456848,7.360480785369873,7.869256019592285,1.74102783203125,-1.74102783203125,99,-11.421849147690992,652.8584129410181,1.0804699065529246,0.2986348470052083,131063036_1972252462.jpg,"sovraesposta,dominante,storta",131063036,1972252462,4.827162319165802
480,360,0.1728,36.03448867797851,21.339614868164062,2.9923756917317705,2.679189046223958,12.41359900205132,7.755945682525635,9.69240665435791,14.102572441101074,0.01708984375,-0.01708984375,48,-7.948015012782964,63.94052726464805,0.3888265556932817,0.0348141988118489,131248416_1976562936.jpg,"buia,dominante,sfocata,bassa_risoluzione",131248416,1976562936,4.634275428304178
1049,1050,1.10145,59.379581451416016,22.0100040435791,0.0606897865853658,0.1549161585365853,5.990969566029832,0.1901918947696685,5.987949848175049,21.083078384399418,6.837028503417969,-6.837028503417969,14,18.18684440309737,320.3051140449329,0.5311469527430204,0.0190758384146341,130662340_1963067222.jpg,"dominante,storta",130662340,1963067222,4.555761393786104
629,618,0.388722,76.12870788574219,25.6972713470459,35.828583188369784,1.8585751118290257,4.595002293581906,1.441090703010559,4.363175868988037,4.913527488708496,0.0096435546875,-0.0096435546875,60,-4.00330935903956,38.28442476121407,9.31129025001392e-15,0.3624988351143141,123665033_1813355217.jpg,"sovraesposta,dominante,sfocata,bassa_risoluzione",123665033,1813355217,4.493535146212221
1680,945,1.5876,58.99272918701172,23.91983985900879,1.6688028971354167,0.728183322482639,7.136166650918114,-1.332116961479187,7.010730266571045,14.603278160095217,6.2816009521484375,-6.2816009521484375,132,-23.332578135415684,520.6445572717967,1.2094845473433022,0.0219997829861111,131063036_1972252394.jpg,"dominante,storta",131063036,1972252394,4.471775630828487
1400,1050,1.47,55.42152786254883,20.650789260864254,0.0048319498697916,0.3743489583333333,8.307544158701665,0.6072803139686584,8.285318374633789,23.64048194885254,5.7806243896484375,-5.7806243896484375,47,31.07312219889697,528.280807077883,0.413655434889857,0.0005785624186197,130920956_1968907250.jpg,"dominante,storta",130920956,1968907250,4.430635632774375
1680,1050,1.764,57.797515869140625,19.109033584594727,0.024871826171875,0.986328125,8.913367343605962,3.916064977645874,8.007031440734863,21.32360076904297,5.3758392333984375,5.3758392333984375,86,13.348163084464495,558.6334067199729,0.895144629239728,0.0008895874023437,122116780_1754762256.jpg,"dominante,storta",122116780,1754762256,4.312234658167116
1154,865,0.99821,52.68243789672851,24.958173751831055,0.1497904459635416,1.5694936116536458,9.405530983206452,0.1461704969406128,9.40439510345459,11.426133155822754,5.170654296875,-5.170654296875,35,-12.097437982529703,1269.6650997188924,0.7346482311231006,0.0021921793619791,128207258_1903129024.jpg,"dominante,storta,bassa_risoluzione",128207258,1903129024,4.2984856103849465
480,360,0.1728,51.92219924926758,17.561649322509766,0.01220703125,0.0120798746744791,15.549613186352138,5.228063106536865,14.644378662109377,21.727296829223633,1.25286865234375,-1.25286865234375,44,-1.898203956914881,65.95759033098714,0.3888265556932805,3.814697265625e-06,131248416_1976562820.jpg,"buia,dominante,storta,sfocata,bassa_risoluzione",131248416,1976562820,4.1311359677073245
480,360,0.1728,49.53815841674805,20.3248291015625,4.157129923502604,1.021448771158854,8.31371895721229,-1.2717291116714478,8.215876579284668,9.999916076660156,3.362213134765625,-3.362213134765625,101,-8.321790400361072,57.07296414223027,0.2531590367732318,0.0495452880859375,131248416_1976562632.jpg,"buia,dominante,storta,sfocata,bassa_risoluzione",131248416,1976562632,4.11487325176818
1394,768,1.070592,65.69367218017578,28.59556770324707,0.1277842420212766,3.1750401706560285,5.301495656329398,0.5356402397155762,5.274366855621338,11.97116756439209,6.0921783447265625,6.0921783447265625,91,-12.248042565874,109.01768562262592,0.3458216754298251,0.0803949883643617,130190344_1951787288.jpg,"dominante,storta,sfocata",130190344,1951787288,4.0698647168562925
1416,1050,1.4868,67.0832290649414,23.899770736694336,0.2090795866271409,1.2925621706192358,7.85283922664988,0.1680525094270706,7.851040840148926,9.714303016662598,5.302009582519531,-5.302009582519531,26,-20.390237362157833,203.070895342124,0.6122864684624222,0.0567911623023715,132260672_2000615734.jpg,"dominante,storta",132260672,2000615734,3.997882861675491
1154,865,0.99821,52.83559036254883,26.100902557373047,0.000762939453125,4.572804768880209,2.3859854820927295,2.2597920894622803,-0.7656803727149963,11.400708198547363,6.656257629394531,6.656257629394531,17,66.98434824978037,1488.0882859524556,2.2318611840511995,0.0006434122721354,129957918_1946034768.jpg,"storta,bassa_risoluzione",129957918,1946034768,3.937505086263021
